1	13323500	13323700	HELITRONY3
1	15611800	15611900	ROMANIAT5
2	3039400	3039500	VANDAL4
2	3838000	3838100	ATENSPM5
2	5198300	5198400	VANDAL3
2	5469500	5469700	ATCOPIA95
2	10760600	10761000	ATHAT1
2	10760700	10760900	ATHAT1
2	13103600	13104000	HELITRONY3
3	13930100	13930300	ATHILA
3	15119500	15119800	ATHILA0_I|ATHILA6A
4	3054700	3061200	ATDNA12T3_2
4	5627100	5627300	ATLINE1_1
5	1452000	1452100	ATREP10D
5	11126600	11127000	ATGP10
5	11184800	11188400	ATDNA12T3_2
5	11935300	11935500	ATHILA6A
5	14186400	14186600	ATREP11|ATREP3
5	15833600	15833700	ATCOPIA12
